"STATE__","BGN_DATE","BGN_TIME","TIME_ZONE","COUNTY","COUNTYNAME","STATE","EVTYPE","BGN_RANGE","BGN_AZI","BGN_LOCATI","END_DATE","END_TIME","COUNTY_END","COUNTYENDN","END_RANGE","END_AZI","END_LOCATI","LENGTH","WIDTH","F","MAG","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","WFO","STATEOFFIC","ZONENAMES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","REMARKS","REFNUM","PROPDMGTOTAL"
"28512",17,"10/10/1954 0:00:00","1600","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",1.5,50,1,0,0,0,25,1000,0,"","","","",4134,8740,0,0,"",28512,25000
"28514",17,"3/3/1955 0:00:00","1600","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,250,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28514,NA
"28521",17,"4/18/1955 0:00:00","2100","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8741,0,0,"",28521,NA
"28532",17,"5/26/1955 0:00:00","1600","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",1.5,100,1,0,0,2,250,1000,0,"","","","",4145,8745,0,0,"",28532,250000
"28541",17,"7/5/1955 0:00:00","1437","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,NA,0,"","","","",4147,8741,0,0,"",28541,NA
"28579",17,"3/5/1956 0:00:00","2302","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4147,8741,0,0,"",28579,NA
"28583",17,"3/6/1956 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4135,8735,0,0,"",28583,NA
"28584",17,"4/2/1956 0:00:00","0130","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",2,10,1,0,0,0,250,1000,0,"","","","",4204,8744,0,0,"",28584,250000
"28593",17,"4/27/1956 0:00:00","1700","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28593,NA
"28615",17,"7/19/1956 0:00:00","1650","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,125,0,0,0,NA,0,"","","","",4147,8754,0,0,"",28615,NA
